commonName,legalName,website,location,state,newengland
Questa Del Rio News,,https://questanews.com,Questa,NM,non-YA
Reveal from the Center for Investigative Reporting,,https://revealnews.org,Emeryville,CA,non-YA
"Riverside Record, The",,https://riversiderecord.org,Los Angeles,CA,non-YA
Sahan Journal,,https://sahanjournal.com,Saint Paul,MN,non-YA
The Sammamish Comment,,https://sammamish.news,Sammamish,WA,non-YA
San Antonio Report,,https://sanantonioreport.org,San Antonio,TX,non-YA
San Jose Inside,Weeklys,https://sanjoseinside.com,San Jose,CA,non-YA
San Jose Spotlight,,https://sanjosespotlight.com,San Jose,CA,non-YA
Scalawag,,https://scalawagmagazine.org,Durham,NC,non-YA
South Dakota News Watch,,https://sdnewswatch.org,Sioux Falls,SD,non-YA
Searchlight New Mexico,,https://searchlightnm.org,Santa Fe,NM,non-YA
San Francisco Public Press,,https://sfpublicpress.org,San Francisco,CA,non-YA
Springfield Daily Citizen,,https://sgfcitizen.org,Springfield,MO,non-YA
Shasta Scout,,https://shastascout.org,"Redding, CA 96003",CA,non-YA
Shoresides,Working Narratives,https://shoresides.org,Wilmington,NC,non-YA
Shtetl,,https://shtetl.org,New York,NY,non-YA
The Sierra Nevada Ally,,https://sierranevadaally.org,Reno,NV,non-YA
SJV Water,,https://sjvwater.org,Bakersfield,CA,non-YA
Southerly,,https://southerlymag.org,Durham,NC,non-YA
SpokaneFAVS,,https://spokanefavs.com,Spokane,WA,non-YA
Spotlight PA,,https://spotlightpa.org,Philadelphia,PA,non-YA
Spotlight Schools,,https://spotlightschools.com,Seal Beach,CA,non-YA
Startland News,,https://startlandnews.com,Kansas City,MO,non-YA
Streetcar Suburbs News,,https://streetcarsuburbs.news,Hyattsville,MD,non-YA
Tarbell,,https://tarbell.org,Greer,SC,non-YA
The Texas Observer,,https://texasobserver.org,Cedar Park,TX,non-YA
The Active Agr,,https://theactiveage.com,Wichita,KS,non-YA
"Atlanta Voice, The",,https://theatlantavoice.com,Atlanta,GA,non-YA
The Badger Project,,https://thebadgerproject.org,Madison,WI,non-YA
"Baltimore Banner, The",,https://thebaltimorebanner.com,Baltimore,MD,non-YA
The Beacon,,https://thebeacon.media,Kansas City,MO,non-YA
The City,,https://thecity.nyc,New York,NY,non-YA
The Current GA,,https://thecurrentga.org,Savannah,GA,non-YA
"Current, The - LA",,https://thecurrentla.com,Lafayette,LA,non-YA
The DC Line,,https://thedcline.org,Washington,DC,non-YA
The FERN,,https://thefern.org,New York,NY,non-YA
The Frisc,,https://thefrisc.com,San Francisco,CA,non-YA
"Gettysburg Voice, The",,https://thegburgvoice.org,Gettysburg,PA,non-YA
Green Philly,,https://thegreencities.com,Philadelphia,PA,non-YA
"JOLT, The",,https://thejoltnews.com,Olympia,WA,non-YA
"Land, The",,https://thelandcle.org,Cleveland,OH,non-YA
"Lansing Journal, The",,https://thelansingjournal.com,Lansing,IL,non-YA
The Local Reporter,,https://thelocalreporter.press,Chapel Hill,NC,non-YA
The Lund Report,,https://thelundreport.org,Portland,OR,non-YA
"Record North Shore, The",,https://therecordnorthshore.org,Wilmette,IL,non-YA
TheReportingProject.org,,https://thereportingproject.org,Granville,OH,non-YA
Rivard Report,,https://therivardreport.com,San Antonio,TX,non-YA
The Tyler Loop,,https://thetylerloop.com,Tyler,TX,non-YA
"Uptake, The",,https://theuptake.org,Saint Paul,MN,non-YA
"Xylom, The",,https://thexylom.com,Atlanta,GA,non-YA
"Yappie, The",,https://theyappie.com,Wilmington,DE,non-YA
Tone Madison,,https://tonemadison.com,Madison,WI,non-YA
Tostada Magazine,,https://tostadamagazine.com,Detroit,MI,non-YA
Triangle Blog Blog,,https://triangleblogblog.com,Chapel Hill,NC,non-YA
The Lakeville Journal Company,,https://tricornernews.com,Falls Village,CT,non-YA
Tube City Online,,https://tubecityonline.com,McKeesport,PA,non-YA
Tumbleweird,,https://tumbleweird.org,Richland,WA,non-YA
Underscore,,https://underscore.news,Portland,OR,non-YA
The Utah Investigative Journalism Project,,https://utahinvestigative.org,Salt Lake City,UT,non-YA
Virginia Center for Investigative Journalism,,https://vcij.org,Crozet,VA,non-YA
Vero Communique,,https://verocommunique.com,Vero Beach,FL,non-YA
Virginia Mercury,States Newsroom,https://virginiamercury.com,Richmond,VA,non-YA
Voice of OC,,https://voiceofoc.org,Santa Ana,CA,non-YA
Voice of San Diego,,https://voiceofsandiego.org,San Diego,CA,non-YA
Voices of Monterey Bay,,https://voicesofmontereybay.org,Salinas,CA,non-YA
Waterbury Roundabout,,https://waterburyroundabout.org,Waterbury,VT,non-YA
Watershed Voice,,https://watershedvoice.com,Three Rivers,MI,non-YA
Wausau Pilot & Review,,https://wausaupilotandreview.com,Wausau,WI,non-YA
Westside Observer,,https://westsideobserver.com,San Francisco,CA,non-YA
The West View,,https://westviewslc.org,Salt Lake City,UT,non-YA
VoxPopuli,,https://wintergardenvox.com,Winter Garden,FL,non-YA
Wisconsin Watch,,https://wisconsinwatch.org,Madison,WI,non-YA
Witness LA,,https://witnessla.com,Los Angeles,CA,non-YA
WyoFile,,https://wyofile.com,Lander,WY,non-YA
The  Wyoming Truth,,https://wyomingtruth.org,Laramie,WY,non-YA
Crosstown,,https://xtown.la,Los Angeles,CA,non-YA
