DORCode,LEACode,Municipality,County,CherrySheetFY,Population,DORIncome,DORIncomePerCapita,EQV,EQVPerCapita
298,298,Topsfield,ESSEX,2023,"6,569","501,440,000","76,334","1,512,746,600","230,286"
299,299,Townsend,MIDDLESEX,2023,"9,127","337,685,000","36,998","1,028,137,100","112,648"
300,300,Truro,BARNSTABLE,2023,"2,454","113,597,000","46,291","2,485,412,200","1,012,800"
301,301,Tyngsborough,MIDDLESEX,2023,"12,380","567,254,000","45,820","1,879,305,900","151,802"
302,302,Tyringham,BERKSHIRE,2023,427,"9,527,000","22,311","214,764,900","502,962"
303,303,Upton,WORCESTER,2023,"8,000","462,965,000","57,871","1,323,346,500","165,418"
304,304,Uxbridge,WORCESTER,2023,"14,162","565,746,000","39,948","2,020,830,200","142,694"
305,305,Wakefield,MIDDLESEX,2023,"27,090","1,441,662,000","53,217","5,733,498,000","211,646"
306,306,Wales,HAMPDEN,2023,"1,832","45,851,000","25,028","184,036,100","100,456"
307,307,Walpole,NORFOLK,2023,"26,383","1,549,523,000","58,732","5,276,015,500","199,978"
308,308,Waltham,MIDDLESEX,2023,"65,218","2,676,635,000","41,041","15,280,634,600","234,301"
309,309,Ware,HAMPSHIRE,2023,"10,066","242,254,000","24,067","812,035,400","80,671"
310,310,Wareham,PLYMOUTH,2023,"23,303","633,863,000","27,201","4,129,275,400","177,199"
311,311,Warren,WORCESTER,2023,"4,975","105,574,000","21,221","430,289,400","86,490"
312,312,Warwick,FRANKLIN,2023,780,"18,918,000","24,254","82,405,000","105,647"
313,313,Washington,BERKSHIRE,2023,494,"16,300,000","32,996","85,907,800","173,902"
314,314,Watertown,MIDDLESEX,2023,"35,329","1,899,634,000","53,770","9,830,970,500","278,269"
315,315,Wayland,MIDDLESEX,2023,"13,943","1,995,290,000","143,103","4,238,747,600","304,005"
316,316,Webster,WORCESTER,2023,"17,776","513,696,000","28,898","1,844,205,900","103,747"
317,317,Wellesley,NORFOLK,2023,"29,550","6,248,636,000","211,460","13,524,019,800","457,666"
318,318,Wellfleet,BARNSTABLE,2023,"3,566","153,805,000","43,131","2,661,294,900","746,297"
319,319,Wendell,FRANKLIN,2023,924,"19,845,000","21,477","102,149,000","110,551"
320,320,Wenham,ESSEX,2023,"4,979","392,069,000","78,745","946,329,400","190,064"
321,322,West Boylston,WORCESTER,2023,"7,877","294,419,000","37,377","1,080,272,600","137,143"
322,323,West Bridgewater,PLYMOUTH,2023,"7,707","290,720,000","37,722","1,379,056,200","178,936"
323,324,West Brookfield,WORCESTER,2023,"3,833","140,378,000","36,624","440,792,400","114,999"
324,329,West Newbury,ESSEX,2023,"4,500","353,784,000","78,619","1,027,055,700","228,235"
325,332,West Springfield,HAMPDEN,2023,"28,835","851,551,000","29,532","2,966,876,100","102,891"
326,333,West Stockbridge,BERKSHIRE,2023,"1,343","58,045,000","43,220","410,234,100","305,461"
327,334,West Tisbury,DUKES,2023,"3,555","240,682,000","67,702","3,002,267,300","844,520"
328,321,Westborough,WORCESTER,2023,"21,567","1,269,510,000","58,864","4,556,141,700","211,255"
329,325,Westfield,HAMPDEN,2023,"40,834","1,225,609,000","30,014","3,606,467,600","88,320"
330,326,Westford,MIDDLESEX,2023,"24,643","1,630,178,000","66,152","5,161,061,500","209,433"
331,327,Westhampton,HAMPSHIRE,2023,"1,622","68,642,000","42,319","250,696,200","154,560"
332,328,Westminster,WORCESTER,2023,"8,213","329,762,000","40,151","1,117,484,000","136,063"
333,330,Weston,MIDDLESEX,2023,"11,851","3,947,628,000","333,105","6,765,132,800","570,849"
334,331,Westport,BRISTOL,2023,"16,339","787,052,000","48,170","3,742,770,600","229,070"
335,335,Westwood,NORFOLK,2023,"16,266","2,001,729,000","123,062","5,214,138,300","320,554"
336,336,Weymouth,NORFOLK,2023,"57,437","2,206,701,000","38,420","9,358,057,000","162,927"
337,337,Whately,FRANKLIN,2023,"1,607","36,489,000","22,706","288,556,600","179,562"
338,338,Whitman,PLYMOUTH,2023,"15,121","526,094,000","34,792","1,882,778,200","124,514"
339,339,Wilbraham,HAMPDEN,2023,"14,613","729,598,000","49,928","1,874,892,200","128,303"
340,340,Williamsburg,HAMPSHIRE,2023,"2,504","75,099,564","29,992","330,724,800","132,079"
341,341,Williamstown,BERKSHIRE,2023,"7,513","269,139,000","35,823","1,054,809,700","140,398"
342,342,Wilmington,MIDDLESEX,2023,"23,349","1,167,254,000","49,992","5,340,168,500","228,711"
343,343,Winchendon,WORCESTER,2023,"10,364","275,063,000","26,540","825,187,100","79,621"
344,344,Winchester,MIDDLESEX,2023,"22,970","2,799,298,000","121,868","8,680,662,000","377,913"
345,345,Windsor,BERKSHIRE,2023,831,"24,650,000","29,663","123,292,600","148,367"
346,346,Winthrop,SUFFOLK,2023,"19,316","713,603,000","36,944","2,870,648,300","148,615"
347,347,Woburn,MIDDLESEX,2023,"40,876","1,829,233,000","44,751","9,226,467,200","225,718"
348,348,Worcester,WORCESTER,2023,"206,518","4,638,107,000","22,459","15,426,121,200","74,696"
349,349,Worthington,HAMPSHIRE,2023,"1,193","34,443,000","28,871","182,949,300","153,352"
350,350,Wrentham,NORFOLK,2023,"12,178","738,007,000","60,602","2,481,220,700","203,746"
351,351,Yarmouth,BARNSTABLE,2023,"25,023","876,692,000","35,035","6,880,187,700","274,955"
